date,cash_in_echannel,cash_out_echannel,cash_in_kantor,cash_out_kantor,cr_ketetapan_total_bkn_sum,giro,deposito,kewajiban_lain,tabungan,rata_dpk_mingguan,kas_kantor,kas_echannel
7/31/2019,730300000,-1304400000,1.43672E+11,-1.1061E+11,3,9.86736E+11,8.04815E+11,14196848459,7.07265E+11,3.13574E+11,1928940301,2939100000
8/1/2019,732200000,-832150000,3.14413E+11,-67109868151,3,8.96246E+11,8.12561E+11,12340617510,7.012E+11,3.13574E+11,2.49232E+11,2839150000
8/2/2019,1169800000,-621400000,1251294500,-1142331700,3,9.05971E+11,8.12723E+11,11820222539,6.92279E+11,3.13574E+11,2.49341E+11,3387550000
8/3/2019,913450000,-424050000,0,0,3,9.05713E+11,8.12725E+11,11996399444,6.86722E+11,3.13574E+11,2.49341E+11,3876950000
8/4/2019,775250000,-777950000,98833307801,-87292735001,3,9.78835E+11,8.12471E+11,12329618630,6.81344E+11,3.13574E+11,2.60882E+11,3874250000
8/5/2019,1243150000,-1488550000,1.52802E+11,-1.36201E+11,3,1.12825E+12,8.24519E+11,12176771731,6.65501E+11,3.13574E+11,2.77483E+11,3628850000
8/6/2019,558800000,-774800000,58247734212,-73306233312,3,1.095E+12,8.15292E+11,13706725143,6.65898E+11,3.13574E+11,2.62424E+11,3412850000
8/7/2019,488550000,-652400000,69084653482,-49415454882,3,1.03952E+12,8.15267E+11,13684684394,6.63128E+11,3.30677E+11,2.82093E+11,3249000000
8/8/2019,722500000,-724300000,2.73957E+11,-74224296371,3,1.14951E+12,8.3207E+11,12096037258,6.51164E+11,3.30677E+11,4.81826E+11,3247200000
8/9/2019,856700000,-640350000,1582057703,-1529425203,3,1.15362E+12,8.32065E+11,12277099611,6.45114E+11,3.30677E+11,4.81879E+11,3463550000
8/10/2019,446650000,-159850000,0,0,3,1.15478E+12,8.3207E+11,12441548135,6.41989E+11,3.30677E+11,4.81879E+11,3750350000
8/11/2019,456050000,-586000000,1.58533E+11,-81782613639,3,1.373E+12,8.18725E+11,11806052276,6.38658E+11,3.30677E+11,5.58629E+11,3620400000
8/12/2019,395800000,-637900000,37537234529,-1.08013E+11,3,1.32362E+12,8.18441E+11,11098659136,6.37056E+11,3.30677E+11,4.88152E+11,3378300000
8/13/2019,472450000,-634050000,46095553294,-90853080694,3,1.06139E+12,8.18248E+11,10881812071,6.34688E+11,3.30677E+11,4.43395E+11,3216700000
8/14/2019,467900000,-500950000,54059181731,-62713495831,3,1.03783E+12,8.18289E+11,10889694083,6.35643E+11,3.30677E+11,4.34741E+11,3183650000
8/15/2019,919900000,-571500000,1.95225E+11,-1.0218E+11,3,9.83779E+11,8.16258E+11,10887354624,6.3787E+11,3.12154E+11,5.27786E+11,3532050000
8/16/2019,681200000,-311100000,53221500,0,3,9.88037E+11,8.1625E+11,11054725292,6.34092E+11,3.12154E+11,5.27839E+11,3902150000
8/17/2019,0,0,0,0,3,9.93767E+11,8.16253E+11,11223721158,6.2976E+11,3.12154E+11,5.27839E+11,3902150000
8/18/2019,675700000,-878050000,1.42092E+11,-1.20075E+11,3,9.5788E+11,8.05133E+11,11397831648,6.2832E+11,3.12154E+11,5.49856E+11,3699800000
8/19/2019,644950000,-590000000,36121865493,-1.0641E+11,3,9.92186E+11,8.05123E+11,11131402920,6.27719E+11,3.12154E+11,4.79569E+11,3754750000
8/20/2019,522350000,-1242850000,88900731743,-1.20214E+11,3,1.11221E+12,8.05219E+11,11027861034,6.26749E+11,3.12154E+11,4.48255E+11,3034250000
8/21/2019,786350000,-762500000,1.55214E+11,-82508994999,3,1.04037E+12,8.06144E+11,17133639730,6.27826E+11,3.12154E+11,5.2096E+11,3058100000
8/22/2019,1330400000,-784750000,2.47438E+11,-95619484236,3,8.89141E+11,8.08884E+11,10921149332,6.49036E+11,3.12154E+11,6.72779E+11,3603750000
8/23/2019,632300000,-616650000,1474237000,-1328529100,3,8.96382E+11,8.08884E+11,11054156228,6.40131E+11,3.30016E+11,6.72925E+11,3619400000
8/24/2019,620400000,-299750000,0,0,3,9.00098E+11,8.08888E+11,10080295596,6.34866E+11,3.30016E+11,6.72925E+11,3940050000
8/25/2019,504600000,-714200000,36302697738,-84517246638,3,9.79377E+11,7.95434E+11,10576893878,6.3108E+11,3.30016E+11,6.2471E+11,3730450000
8/26/2019,441900000,-550850000,1.06483E+11,-1.19182E+11,3,9.30348E+11,8.04857E+11,10477783669,6.28225E+11,3.30016E+11,6.12012E+11,3621500000
8/27/2019,436500000,-1239200000,1.41108E+11,-77011458692,3,8.37491E+11,8.05707E+11,13672188035,6.2851E+11,3.30016E+11,6.76108E+11,2818800000
8/28/2019,876700000,-997050000,1.89672E+11,-53551755908,3,1.7942E+12,8.05743E+11,11265177541,6.29605E+11,3.30016E+11,8.12228E+11,2698450000
8/29/2019,1120150000,-765250000,1.14102E+11,-59298805575,3,1.42742E+12,8.10243E+11,12661338427,6.33627E+11,3.30016E+11,8.67031E+11,3053350000
